product_id,product_name,super_category,category,brand,base_price,discount_percent,monthly_sales_volume,avg_rating,return_rate_percent,profit_margin_percent,is_perishable,shelf_life_days,launch_date
P00024,Milton Kitchen Towels,Household,Kitchen Essentials,Milton,120,0,520,3.3,34.56,31.08,No,420,2022-04-06
P00025,NaturePick Garlic,Fresh,Fruits & Vegetables,NaturePick,30,20,1211,3.9,23.75,32.17,Yes,9,2021-02-22
P00026,Sensodyne Toothbrush,Personal Care,Oral Care,Sensodyne,151,5,360,4.0,22.79,25.97,No,189,2022-07-27
P00027,Tide Detergent Liquid,Household,Cleaning & Laundry,Tide,598,10,185,4.8,6.64,26.81,No,558,2021-08-06
P00028,Sundrop Desi Ghee,Staples,Edible Oils & Ghee,Sundrop,389,20,924,4.3,14.02,27.74,No,486,2023-09-20
P00029,LocalFarm Carrot,Fresh,Fruits & Vegetables,LocalFarm,47,20,1456,3.7,27.81,29.23,Yes,8,2023-11-08
P00030,Closeup Electric Toothbrush,Personal Care,Oral Care,Closeup,114,0,199,4.3,16.49,39.34,No,521,2020-09-24
P00031,Oral-B Toothbrush,Personal Care,Oral Care,Oral-B,163,20,503,4.2,16.34,25.82,No,332,2023-01-22
P00032,Nandini White Eggs,Fresh,Dairy & Eggs,Nandini,140,5,633,3.7,28.7,28.06,Yes,5,2022-01-02
P00033,Fortune Rajma,Staples,"Atta, Rice & Dal",Fortune,231,20,1070,4.9,4.25,26.11,No,422,2020-11-28
P00034,Dhara Sunflower Oil,Staples,Edible Oils & Ghee,Dhara,420,15,863,4.3,16.21,36.28,No,343,2023-12-07
P00035,Dodla Milk,Fresh,Dairy & Eggs,Dodla,86,5,2127,4.8,5.05,27.7,Yes,8,2021-04-01
P00036,Organic India Lady Finger,Fresh,Fruits & Vegetables,Organic India,91,0,1471,3.8,25.53,29.8,Yes,13,2021-11-09
P00037,FarmFresh Carrot,Fresh,Fruits & Vegetables,FarmFresh,87,0,955,4.2,17.04,28.21,Yes,11,2023-05-26
P00038,Tide Toilet Cleaner,Household,Cleaning & Laundry,Tide,340,0,676,3.9,23.56,27.9,No,381,2022-01-15
P00040,Patanjali Moong Dal,Staples,"Atta, Rice & Dal",Patanjali,396,5,1040,3.7,27.64,39.99,No,473,2021-03-06
P00041,Continental Herbal Tea,Beverages,Tea & Coffee,Continental,552,5,479,4.0,22.7,28.06,No,353,2023-09-11
P00042,Country Delight Brown Eggs,Fresh,Dairy & Eggs,Country Delight,53,5,1976,3.7,28.42,37.79,Yes,5,2021-05-16
P00043,Paper Boat Iced Tea,Beverages,Cold Drinks & Juices,Paper Boat,69,15,1199,3.9,22.44,29.68,No,289,2022-05-20
P00044,24 Mantra Chickpeas,Staples,"Atta, Rice & Dal",24 Mantra,75,20,883,4.8,4.36,38.0,No,655,2023-09-29
P00045,Milton Paper Towels,Household,Kitchen Essentials,Milton,298,15,446,4.0,20.48,27.08,No,640,2021-06-14
P00046,Emami Healthy & Tasty Desi Ghee,Staples,Edible Oils & Ghee,Emami Healthy & Tasty,576,5,340,3.9,24.14,36.48,No,523,2021-10-16
P00047,Rin Fabric Softener,Household,Cleaning & Laundry,Rin,316,15,760,3.5,30.64,33.78,No,518,2023-01-16
P00048,Wagh Bakri Tea Powder,Beverages,Tea & Coffee,Wagh Bakri,530,15,584,4.8,4.06,26.79,No,569,2022-09-03
P00049,Aavin Cheese,Fresh,Dairy & Eggs,Aavin,248,15,1217,4.5,11.64,30.95,Yes,8,2022-09-26
P00050,Freedom Rice Bran Oil,Staples,Edible Oils & Ghee,Freedom,109,15,616,4.3,16.39,29.14,No,658,2020-09-18
P00051,Surf Excel Toilet Cleaner,Household,Cleaning & Laundry,Surf Excel,165,15,287,4.7,6.55,36.1,No,515,2021-03-09
P00052,Bru Masala Tea,Beverages,Tea & Coffee,Bru,384,15,356,4.6,9.41,28.77,No,233,2021-12-17
P00053,Aashirvaad Rajma,Staples,"Atta, Rice & Dal",Aashirvaad,436,0,524,3.5,30.06,37.71,No,309,2022-08-27
P00054,Santoor Conditioner,Personal Care,Bath & Body,Santoor,171,10,267,4.2,18.89,29.22,No,347,2021-09-29
P00055,NaturePick Cucumber,Fresh,Fruits & Vegetables,NaturePick,116,15,1246,3.3,36.07,30.59,Yes,6,2023-11-28
P00056,Britannia Roasted Peanuts,Snacks,Snacks & Biscuits,Britannia,108,20,1161,4.3,14.21,30.29,No,192,2022-05-10
P00057,Tropicana Energy Drink,Beverages,Cold Drinks & Juices,Tropicana,137,5,786,3.5,31.57,30.24,No,675,2022-08-10
P00058,Wagh Bakri Masala Tea,Beverages,Tea & Coffee,Wagh Bakri,188,10,588,3.6,29.39,30.85,No,568,2021-11-19
P00059,Nandini Fresh Cream,Fresh,Dairy & Eggs,Nandini,154,5,1117,4.6,9.02,26.79,Yes,9,2023-02-12
P00060,FarmFresh Orange,Fresh,Fruits & Vegetables,FarmFresh,124,15,1337,4.4,13.94,32.64,Yes,5,2020-07-09
P00061,Sunfeast Digestive Biscuits,Snacks,Snacks & Biscuits,Sunfeast,98,20,1077,4.0,21.59,33.62,No,518,2021-12-21
P00062,Sensodyne Mouthwash,Personal Care,Oral Care,Sensodyne,114,5,232,4.4,12.95,28.86,No,369,2021-01-27
P00063,Patanjali Mustard Oil,Staples,Edible Oils & Ghee,Patanjali,369,0,830,3.5,30.68,37.31,No,194,2023-12-21
P00064,Surf Excel Dishwash Bar,Household,Cleaning & Laundry,Surf Excel,135,20,473,4.4,12.38,26.97,No,682,2020-07-29
P00065,Dodla Ghee,Fresh,Dairy & Eggs,Dodla,142,10,898,4.8,4.76,27.08,Yes,6,2020-05-13
P00066,Tata Tea Tea Powder,Beverages,Tea & Coffee,Tata Tea,255,5,645,4.8,4.26,36.28,No,606,2023-05-26
P00067,Dettol Toilet Cleaner,Household,Cleaning & Laundry,Dettol,533,10,523,4.9,2.92,30.68,No,281,2021-03-01
P00068,Fiama Face Wash,Personal Care,Bath & Body,Fiama,81,5,366,3.5,30.23,39.96,No,641,2023-11-12
P00069,Scotch-Brite Garbage Bags,Household,Kitchen Essentials,Scotch-Brite,158,10,331,4.4,13.36,29.69,No,450,2023-07-04
P00070,Ariel Toilet Cleaner,Household,Cleaning & Laundry,Ariel,310,5,348,4.6,8.21,37.51,No,494,2023-05-03
P00071,Colgate Dental Floss,Personal Care,Oral Care,Colgate,169,10,442,4.8,5.5,32.59,No,262,2023-05-09
P00072,Milky Mist Fresh Cream,Fresh,Dairy & Eggs,Milky Mist,36,0,1100,4.8,6.51,31.36,Yes,5,2023-10-08
P00073,Lays Namkeen Mix,Snacks,Snacks & Biscuits,Lays,152,15,755,3.5,31.76,30.48,No,683,2020-07-05
P00075,Country Delight Curd,Fresh,Dairy & Eggs,Country Delight,94,10,859,4.8,5.21,32.28,Yes,5,2023-09-08
P00076,Scotch-Brite Paper Towels,Household,Kitchen Essentials,Scotch-Brite,136,20,446,4.3,15.5,33.37,No,232,2021-02-20
P00077,Lays Cream Biscuits,Snacks,Snacks & Biscuits,Lays,198,15,438,3.2,37.89,28.01,No,342,2021-09-28
P00079,Closeup Dental Floss,Personal Care,Oral Care,Closeup,170,5,467,4.1,19.15,26.17,No,700,2020-10-06
P00080,Country Delight Buttermilk,Fresh,Dairy & Eggs,Country Delight,231,20,911,4.6,8.85,35.52,Yes,14,2023-04-02
P00081,Closeup Toothbrush,Personal Care,Oral Care,Closeup,187,15,394,3.8,26.29,34.34,No,509,2021-01-21
P00082,Lux Body Lotion,Personal Care,Bath & Body,Lux,250,0,316,4.5,12.12,27.83,No,575,2023-09-21
P00083,Dove Talcum Powder,Personal Care,Bath & Body,Dove,104,20,753,3.8,24.3,27.33,No,282,2022-12-13
P00084,Paper Boat Fruit Juice,Beverages,Cold Drinks & Juices,Paper Boat,59,0,1062,4.5,10.8,30.64,No,587,2023-08-23
P00085,Aavin Flavoured Milk,Fresh,Dairy & Eggs,Aavin,111,15,2289,4.1,19.85,36.48,Yes,9,2021-04-10
P00086,Dove Body Lotion,Personal Care,Bath & Body,Dove,91,15,314,4.4,14.71,39.31,No,237,2021-08-23
P00087,Nestle Rasgulla,Snacks,Chocolates & Sweets,Nestle,300,20,576,4.2,18.38,37.45,No,260,2023-06-02
P00088,Thums Up Iced Tea,Beverages,Cold Drinks & Juices,Thums Up,79,15,1419,3.6,28.77,39.86,No,656,2021-08-12
P00089,Santoor Body Wash,Personal Care,Bath & Body,Santoor,216,20,376,4.3,15.27,36.25,No,489,2021-02-11
P00091,Reliance Fresh Ginger,Fresh,Fruits & Vegetables,Reliance Fresh,147,10,1143,4.2,17.06,30.45,Yes,14,2021-05-28
P00092,Fiama Body Wash,Personal Care,Bath & Body,Fiama,60,10,597,3.3,35.09,38.03,No,482,2021-10-31
P00093,Pepsodent Toothbrush,Personal Care,Oral Care,Pepsodent,83,20,527,4.1,20.74,27.54,No,443,2022-09-13
P00094,Ferrero Dark Chocolate,Snacks,Chocolates & Sweets,Ferrero,127,5,925,4.8,6.58,29.13,No,586,2023-02-15
P00095,Britannia Digestive Biscuits,Snacks,Snacks & Biscuits,Britannia,87,20,625,4.0,22.02,29.92,No,570,2023-07-31
P00096,Lays Bhujia,Snacks,Snacks & Biscuits,Lays,26,20,1703,3.8,25.83,30.27,No,655,2023-12-06
P00097,Nestle Dark Chocolate,Snacks,Chocolates & Sweets,Nestle,96,0,478,4.9,2.35,36.48,No,318,2022-03-06
P00098,Bru Filter Coffee,Beverages,Tea & Coffee,Bru,258,15,783,3.4,33.47,33.88,No,466,2020-03-08
P00100,Red Label Green Tea,Beverages,Tea & Coffee,Red Label,565,0,560,3.6,29.92,25.43,No,231,2021-11-14
P00101,India Gate Urad Dal,Staples,"Atta, Rice & Dal",India Gate,85,20,782,4.2,18.44,36.51,No,331,2023-05-05
P00102,Nandini Butter,Fresh,Dairy & Eggs,Nandini,168,10,1843,3.5,31.98,39.61,Yes,5,2022-01-03
P00104,Sunfeast Cookies,Snacks,Snacks & Biscuits,Sunfeast,177,0,1220,4.5,12.6,32.18,No,649,2023-08-10
P00105,FreshBasket Spinach,Fresh,Fruits & Vegetables,FreshBasket,129,0,1842,4.4,13.33,26.51,Yes,10,2023-05-30
P00106,Daawat Basmati Rice,Staples,"Atta, Rice & Dal",Daawat,369,20,1163,4.4,13.14,31.04,No,481,2022-07-18
P00107,Scotch-Brite Aluminium Foil,Household,Kitchen Essentials,Scotch-Brite,150,15,503,4.7,7.24,27.59,No,588,2022-05-01
P00108,Santoor Hand Wash,Personal Care,Bath & Body,Santoor,200,10,422,4.8,6.06,32.89,No,273,2020-06-23
P00110,Amul Chocolate Bar,Snacks,Chocolates & Sweets,Amul,369,10,249,4.2,16.64,30.15,No,409,2020-08-09
P00111,Amul Dark Chocolate,Snacks,Chocolates & Sweets,Amul,281,15,969,4.2,18.3,30.67,No,206,2023-06-01
P00112,Pepsodent Toothpaste,Personal Care,Oral Care,Pepsodent,119,10,434,3.8,24.54,37.85,No,590,2020-05-22
P00113,India Gate Multigrain Atta,Staples,"Atta, Rice & Dal",India Gate,242,15,1109,3.8,25.11,29.18,No,266,2020-04-17
P00114,Aashirvaad Urad Dal,Staples,"Atta, Rice & Dal",Aashirvaad,395,0,586,4.0,21.27,30.89,No,604,2021-07-13
P00116,Emami Healthy & Tasty Groundnut Oil,Staples,Edible Oils & Ghee,Emami Healthy & Tasty,220,10,503,3.8,24.02,28.8,No,359,2020-09-21
P00117,Pepsi Apple Juice,Beverages,Cold Drinks & Juices,Pepsi,121,0,808,3.2,38.76,27.07,No,619,2023-03-20
P00118,Red Label Masala Tea,Beverages,Tea & Coffee,Red Label,514,0,340,3.5,32.84,33.1,No,550,2020-06-29
P00119,Paper Boat Mixed Fruit Juice,Beverages,Cold Drinks & Juices,Paper Boat,122,20,360,3.9,22.93,34.91,No,521,2020-12-10
P00120,NaturePick Coriander,Fresh,Fruits & Vegetables,NaturePick,69,10,1972,4.4,14.46,27.77,Yes,8,2020-07-29
P00121,Dhara Groundnut Oil,Staples,Edible Oils & Ghee,Dhara,236,0,363,4.8,5.88,33.04,No,639,2023-10-26
P00123,Dettol Dishwash Bar,Household,Cleaning & Laundry,Dettol,542,0,132,3.8,24.86,30.33,No,272,2023-06-13
P00126,Saffola Mustard Oil,Staples,Edible Oils & Ghee,Saffola,476,15,797,3.8,25.79,28.16,No,522,2020-05-14
P00127,Kurkure Popcorn,Snacks,Snacks & Biscuits,Kurkure,92,10,1658,4.6,10.89,30.96,No,333,2021-11-13
P00128,Organic India Brinjal,Fresh,Fruits & Vegetables,Organic India,120,5,811,3.7,27.13,28.12,Yes,7,2023-10-04
P00129,Patanjali Body Lotion,Personal Care,Bath & Body,Patanjali,225,0,364,3.7,28.85,34.88,No,677,2021-01-28
P00130,Fortune Basmati Rice,Staples,"Atta, Rice & Dal",Fortune,201,0,1123,4.5,12.51,26.75,No,218,2023-09-17
P00131,Kurkure Roasted Peanuts,Snacks,Snacks & Biscuits,Kurkure,59,5,706,4.6,10.31,27.86,No,349,2024-01-16
P00133,B Natural Apple Juice,Beverages,Cold Drinks & Juices,B Natural,138,10,738,4.1,19.26,37.57,No,384,2023-05-23
P00134,Patanjali Sunflower Oil,Staples,Edible Oils & Ghee,Patanjali,572,10,545,4.8,6.13,32.26,No,307,2021-08-06
P00135,FreshBasket Carrot,Fresh,Fruits & Vegetables,FreshBasket,57,15,1115,4.8,4.67,33.23,Yes,10,2020-02-24
P00137,24 Mantra Brown Rice,Staples,"Atta, Rice & Dal",24 Mantra,406,5,884,4.0,20.02,38.81,No,442,2021-03-17
P00138,Emami Healthy & Tasty Sunflower Oil,Staples,Edible Oils & Ghee,Emami Healthy & Tasty,375,5,435,3.4,32.72,30.42,No,648,2020-05-08
P00139,Amul White Eggs,Fresh,Dairy & Eggs,Amul,191,20,1511,3.6,28.43,33.56,Yes,14,2021-12-23
P00140,Patanjali Groundnut Oil,Staples,Edible Oils & Ghee,Patanjali,167,20,638,3.3,35.58,32.39,No,699,2023-02-08
P00141,Amul Ghee,Fresh,Dairy & Eggs,Amul,192,15,1135,3.6,28.05,28.17,Yes,10,2021-05-08
P00142,Lux Hand Wash,Personal Care,Bath & Body,Lux,62,10,702,3.8,25.93,27.55,No,655,2023-11-25
P00143,Pepsi Fruit Juice,Beverages,Cold Drinks & Juices,Pepsi,137,0,571,3.5,32.37,26.72,No,503,2021-09-27
P00144,Prestige Kitchen Towels,Household,Kitchen Essentials,Prestige,169,0,228,3.7,28.59,39.28,No,519,2021-07-13
P00145,Aavin Buttermilk,Fresh,Dairy & Eggs,Aavin,220,15,1082,3.8,24.56,29.62,Yes,10,2022-11-29
P00146,Parle Digestive Biscuits,Snacks,Snacks & Biscuits,Parle,130,20,660,4.1,18.96,38.8,No,482,2021-09-19
P00147,Continental Green Tea,Beverages,Tea & Coffee,Continental,459,15,159,4.4,14.73,30.78,No,625,2021-07-16
P00150,Continental Masala Tea,Beverages,Tea & Coffee,Continental,178,20,302,4.1,19.19,30.26,No,435,2020-08-20
P00151,NaturePick Spinach,Fresh,Fruits & Vegetables,NaturePick,119,20,1015,3.6,28.78,33.3,Yes,14,2021-08-07
P00152,Colgate Toothbrush,Personal Care,Oral Care,Colgate,84,0,529,3.5,32.14,25.04,No,507,2023-09-29
P00153,Bingo Popcorn,Snacks,Snacks & Biscuits,Bingo,96,5,1560,4.4,14.1,37.39,No,550,2022-11-07
P00154,Tata Sampann Sona Masoori Rice,Staples,"Atta, Rice & Dal",Tata Sampann,171,15,341,3.8,25.72,32.99,No,312,2023-06-07
P00155,FreshBasket Cucumber,Fresh,Fruits & Vegetables,FreshBasket,142,20,1788,4.5,12.47,38.89,Yes,10,2023-08-08
P00156,Country Delight Ghee,Fresh,Dairy & Eggs,Country Delight,62,20,2100,4.2,18.3,38.06,Yes,13,2020-04-23
P00157,FarmFresh Cucumber,Fresh,Fruits & Vegetables,FarmFresh,61,10,1558,3.8,26.82,26.57,Yes,6,2021-05-28
P00159,Colgate Electric Toothbrush,Personal Care,Oral Care,Colgate,57,0,178,4.8,6.31,36.04,No,395,2023-03-17
P00160,Real Iced Tea,Beverages,Cold Drinks & Juices,Real,97,15,665,4.6,10.05,35.54,No,254,2023-11-11
P00161,FreshBasket Cabbage,Fresh,Fruits & Vegetables,FreshBasket,143,15,1132,3.8,24.43,27.08,Yes,10,2021-12-08
P00164,Tata Tea Herbal Tea,Beverages,Tea & Coffee,Tata Tea,192,15,665,4.0,20.72,31.25,No,229,2020-04-13
P00165,Amul Kaju Katli,Snacks,Chocolates & Sweets,Amul,599,0,640,3.4,32.4,36.03,No,554,2022-04-05
P00167,Parle Namkeen Mix,Snacks,Snacks & Biscuits,Parle,120,10,897,4.1,19.1,37.83,No,701,2022-04-02
P00168,Surf Excel Detergent Powder,Household,Cleaning & Laundry,Surf Excel,220,10,585,4.1,18.45,26.6,No,323,2021-11-02
P00169,Prestige Cling Wrap,Household,Kitchen Essentials,Prestige,193,20,382,4.1,19.53,32.65,No,486,2022-08-30
P00170,Mother Dairy Fresh Cream,Fresh,Dairy & Eggs,Mother Dairy,136,20,1207,4.6,10.18,29.68,Yes,5,2023-05-07
P00171,Wagh Bakri Filter Coffee,Beverages,Tea & Coffee,Wagh Bakri,152,20,678,3.5,31.89,30.7,No,569,2020-10-29
P00172,Patanjali Bath Soap,Personal Care,Bath & Body,Patanjali,96,5,153,3.9,23.26,33.8,No,388,2022-04-20
P00173,Scotch-Brite Food Storage Bags,Household,Kitchen Essentials,Scotch-Brite,110,20,308,4.2,18.99,32.83,No,565,2021-10-04
P00174,Saffola Coconut Oil,Staples,Edible Oils & Ghee,Saffola,442,10,665,4.0,22.87,35.81,No,485,2021-04-05
P00177,Nestle Ladoo,Snacks,Chocolates & Sweets,Nestle,327,20,827,3.7,26.33,28.89,No,425,2021-05-11
P00178,LocalFarm Potato,Fresh,Fruits & Vegetables,LocalFarm,45,15,2121,4.4,12.3,28.44,Yes,5,2023-02-01
P00179,Freedom Olive Oil,Staples,Edible Oils & Ghee,Freedom,568,5,661,4.8,4.96,30.31,No,271,2023-08-28
P00180,Rin Detergent Powder,Household,Cleaning & Laundry,Rin,507,5,128,4.9,3.19,32.57,No,476,2020-03-17
P00181,Mother Dairy White Eggs,Fresh,Dairy & Eggs,Mother Dairy,115,10,1436,4.9,3.63,32.59,Yes,7,2022-10-29
P00183,Harpic Fabric Softener,Household,Cleaning & Laundry,Harpic,517,20,368,3.3,36.01,37.23,No,323,2022-09-04
P00184,Bingo Potato Chips,Snacks,Snacks & Biscuits,Bingo,118,5,1044,4.5,12.86,35.47,No,191,2021-06-19
P00186,Heritage Fresh Cream,Fresh,Dairy & Eggs,Heritage,86,5,1505,3.5,32.24,30.92,Yes,11,2023-12-08
P00187,Glad Kitchen Towels,Household,Kitchen Essentials,Glad,166,20,165,4.1,19.58,34.57,No,294,2020-05-06
P00190,Parle Bhujia,Snacks,Snacks & Biscuits,Parle,31,15,1160,4.4,13.62,39.1,No,250,2022-08-24
P00191,Nandini Buttermilk,Fresh,Dairy & Eggs,Nandini,226,5,1505,4.3,16.19,25.54,Yes,10,2022-02-22
P00192,Red Label Herbal Tea,Beverages,Tea & Coffee,Red Label,652,5,534,4.7,6.36,25.11,No,582,2022-12-19
P00193,Aashirvaad Atta,Staples,"Atta, Rice & Dal",Aashirvaad,202,15,1328,3.9,23.14,36.55,No,651,2021-12-09
P00195,Aashirvaad Multigrain Atta,Staples,"Atta, Rice & Dal",Aashirvaad,278,20,359,3.6,28.13,33.42,No,402,2020-04-25
P00197,Vim Toilet Cleaner,Household,Cleaning & Laundry,Vim,361,0,546,4.8,6.64,26.33,No,617,2023-02-12
P00198,Paper Boat Apple Juice,Beverages,Cold Drinks & Juices,Paper Boat,101,15,929,3.5,31.13,28.68,No,664,2021-05-08
P00199,Patanjali Desi Ghee,Staples,Edible Oils & Ghee,Patanjali,227,15,1127,3.3,35.24,33.75,No,317,2022-03-06
P00200,Saffola Groundnut Oil,Staples,Edible Oils & Ghee,Saffola,160,15,1117,3.8,25.61,27.56,No,232,2021-07-03
P00201,Sprite Diet Soft Drink,Beverages,Cold Drinks & Juices,Sprite,75,15,651,4.7,7.0,25.64,No,195,2021-03-09
P00203,Girnar Masala Tea,Beverages,Tea & Coffee,Girnar,468,20,560,4.0,22.41,29.16,No,507,2021-02-20
P00204,Cadbury Rasgulla,Snacks,Chocolates & Sweets,Cadbury,276,5,183,3.6,30.8,31.31,No,607,2021-08-27
P00205,India Gate Toor Dal,Staples,"Atta, Rice & Dal",India Gate,244,20,749,4.0,21.96,29.73,No,443,2022-09-27
P00206,Pepsodent Dental Floss,Personal Care,Oral Care,Pepsodent,237,10,216,3.4,33.64,37.24,No,240,2022-12-09
P00207,LocalFarm Banana,Fresh,Fruits & Vegetables,LocalFarm,125,5,1211,3.3,34.45,36.72,Yes,12,2022-02-03
P00208,Dodla Flavoured Milk,Fresh,Dairy & Eggs,Dodla,34,0,1691,4.1,18.04,32.06,Yes,9,2023-01-02
P00212,Red Label Instant Coffee,Beverages,Tea & Coffee,Red Label,640,0,244,3.6,30.6,26.69,No,666,2021-07-09
P00213,NaturePick Carrot,Fresh,Fruits & Vegetables,NaturePick,28,5,2009,3.2,36.62,37.82,Yes,11,2020-06-06
P00214,Sunfeast Roasted Peanuts,Snacks,Snacks & Biscuits,Sunfeast,165,15,1340,4.7,7.0,28.67,No,323,2023-11-12
P00215,Dove Hand Wash,Personal Care,Bath & Body,Dove,90,15,381,4.6,9.02,28.47,No,586,2021-10-30
P00217,Scotch-Brite Cling Wrap,Household,Kitchen Essentials,Scotch-Brite,82,10,247,3.8,26.35,37.68,No,578,2021-10-10
P00218,Britannia Banana Chips,Snacks,Snacks & Biscuits,Britannia,98,15,1023,4.5,10.31,38.69,No,621,2022-07-08
P00221,Thums Up Diet Soft Drink,Beverages,Cold Drinks & Juices,Thums Up,131,10,816,3.7,28.35,34.58,No,432,2024-01-16
P00222,Dabur Red Electric Toothbrush,Personal Care,Oral Care,Dabur Red,100,15,243,3.4,32.02,34.06,No,569,2021-11-05
P00223,Brooke Bond Herbal Tea,Beverages,Tea & Coffee,Brooke Bond,407,10,635,4.8,4.6,35.29,No,587,2021-10-15
P00224,Amul Ladoo,Snacks,Chocolates & Sweets,Amul,435,10,794,4.5,11.1,26.02,No,384,2023-04-27
P00225,Dettol Detergent Powder,Household,Cleaning & Laundry,Dettol,294,15,403,4.6,8.21,27.28,No,598,2023-10-10
P00226,Sprite Orange Juice,Beverages,Cold Drinks & Juices,Sprite,84,5,1423,3.9,23.13,33.26,No,670,2023-04-07
P00227,Tata Tea Instant Coffee,Beverages,Tea & Coffee,Tata Tea,468,20,644,4.3,14.25,28.47,No,543,2020-12-06
P00228,Lifebuoy Body Lotion,Personal Care,Bath & Body,Lifebuoy,209,15,208,3.2,36.78,32.34,No,711,2023-02-16
P00229,Lizol Bleach,Household,Cleaning & Laundry,Lizol,480,15,643,4.2,17.5,34.83,No,205,2022-09-15
P00230,Mother Dairy Buttermilk,Fresh,Dairy & Eggs,Mother Dairy,59,5,1330,3.7,27.37,36.9,Yes,12,2021-12-14
P00231,B Natural Iced Tea,Beverages,Cold Drinks & Juices,B Natural,101,0,667,3.3,36.13,39.66,No,531,2023-08-20
P00232,NaturePick Potato,Fresh,Fruits & Vegetables,NaturePick,64,20,1399,3.8,25.28,33.06,Yes,11,2023-07-13
P00233,Patanjali Rajma,Staples,"Atta, Rice & Dal",Patanjali,252,0,562,4.0,21.29,39.93,No,399,2021-02-25
P00234,Parle Roasted Peanuts,Snacks,Snacks & Biscuits,Parle,157,5,819,3.8,25.37,36.06,No,681,2022-12-16
P00237,Brooke Bond Instant Coffee,Beverages,Tea & Coffee,Brooke Bond,688,15,396,3.5,31.91,29.6,No,357,2023-02-10
P00238,Dhara Mustard Oil,Staples,Edible Oils & Ghee,Dhara,271,10,983,4.0,20.16,34.62,No,189,2022-09-19
P00239,24 Mantra Moong Dal,Staples,"Atta, Rice & Dal",24 Mantra,259,15,1022,4.4,13.33,37.49,No,211,2021-03-27
P00240,Sunfeast Cream Biscuits,Snacks,Snacks & Biscuits,Sunfeast,157,10,551,4.5,11.7,28.41,No,687,2023-01-30
P00241,Vim Detergent Liquid,Household,Cleaning & Laundry,Vim,455,20,155,4.5,11.32,36.72,No,615,2020-07-28
P00242,Lifebuoy Face Wash,Personal Care,Bath & Body,Lifebuoy,56,15,434,3.8,26.45,33.41,No,300,2021-04-30
